symbol,score,last_close,rsi,sma20,sma50,macd_hist,reasons
OFSS,1.5,9018.0,57.79838032976978,8696.8,8660.91,63.75625319641698,SMA20 > SMA50
OLECTRA,1.5,1640.0999755859375,61.85973553083412,1590.4273864746094,1476.5229565429688,1.4340525293340036,SMA20 > SMA50
NEULANDLAB,1.5,15467.0,60.98305017082125,14584.1,13988.04494140625,109.83862675786156,SMA20 > SMA50
M&M,1.5,3592.10009765625,59.766164485539626,3474.3699951171875,3330.0399951171876,5.82257974597448,SMA20 > SMA50
MRF,1.5,149705.0,55.20392508485925,147186.5,146960.4553125,231.52421581099588,SMA20 > SMA50
LUPIN,1.5,2055.60009765625,66.92289764321043,1969.075,1946.6031005859375,10.862373348526074,SMA20 > SMA50
SWIGGY,1.5,458.45001220703125,66.62459950247433,430.9300003051758,413.48700073242185,1.4364038558409984,SMA20 > SMA50
SUNDRMFAST,1.5,1038.199951171875,58.19397428436699,1017.5074951171875,1001.3949938964844,2.7431722276613737,SMA20 > SMA50
STARHEALTH,1.5,449.5,55.19184107692254,444.475,439.4239990234375,0.3531782012012963,SMA20 > SMA50
PHOENIXLTD,1.5,1629.800048828125,66.68238809150438,1556.44970703125,1511.8944995117188,9.292019320654287,SMA20 > SMA50
PERSISTENT,1.5,5506.0,56.997351749251514,5363.975,5339.43,33.240789853884856,SMA20 > SMA50
KIRLOSBROS,1.5,2054.60009765625,57.99653375083456,2007.585009765625,1995.848369140625,9.669466823525466,SMA20 > SMA50
BAJAJFINSV,1.5,2067.300048828125,65.0475203543895,2003.520001220703,1986.74,7.715004291318959,SMA20 > SMA50
BAJFINANCE,1.5,992.4500122070312,68.6823192971911,939.9899932861329,917.32099609375,6.82117933402947,SMA20 > SMA50
TIINDIA,1.5,3329.699951171875,63.63830864935405,3150.3999877929687,3032.2990087890626,24.85803532908143,SMA20 > SMA50
TRIVENI,1.5,360.1000061035156,57.11408459733316,353.35624542236326,350.0650646972656,0.9566209128804124,SMA20 > SMA50
KPITTECH,1.5,1285.199951171875,60.61478052323165,1237.0750061035155,1232.960439453125,7.6047409214108335,SMA20 > SMA50
KEI,1.5,4200.0,65.96344231120963,4028.839990234375,3936.18599609375,11.775025844437387,SMA20 > SMA50
JINDALSTEL,1.5,1046.0,60.583898286914305,1015.6300018310546,991.83587890625,1.4125942389739894,SMA20 > SMA50
JBMA,1.5,725.5999755859375,68.84885148930888,650.0475006103516,639.2490222167969,12.810483272981978,SMA20 > SMA50
IGL,1.5,215.1300048828125,58.71646970077251,211.6907051086426,208.73620788574217,0.3740027635498464,SMA20 > SMA50
IOB,1.5,40.880001068115234,66.5240013998333,39.192000198364255,38.382200164794924,0.16796767333463025,SMA20 > SMA50
INDIANB,1.5,701.5,68.56012080880362,676.9875,657.8990026855469,1.965953285167437,SMA20 > SMA50
ITI,1.5,320.3500061035156,60.56967252968921,305.4399948120117,304.1799969482422,1.871083479997739,SMA20 > SMA50
TBOTEK,1.5,1631.199951171875,64.88827432494935,1509.9199951171875,1447.1239965820312,6.971475490261113,SMA20 > SMA50
COALINDIA,1.5,394.5,60.781248061375834,386.92249908447263,379.42778564453124,0.5422694691678931,SMA20 > SMA50
DRREDDY,1.5,1321.699951171875,62.86999231810201,1283.9999877929688,1263.9059985351562,4.5501219486294495,SMA20 > SMA50
DIXON,1.5,18177.0,67.548651107757,17648.014453125,16918.3582421875,6.5719987015284005,SMA20 > SMA50
RAYMONDLSL,1.5,1270.800048828125,55.20723506835389,1235.705010986328,1189.9140063476561,4.364010833140263,SMA20 > SMA50
INOXINDIA,1.5,1233.199951171875,59.8722892311919,1177.0049926757813,1172.5419946289062,9.481330615895706,SMA20 > SMA50
HINDZINC,1.5,453.04998779296875,58.12294667609021,441.79250183105466,435.02000244140623,1.8859504315747566,SMA20 > SMA50
HAVELLS,1.5,1590.800048828125,57.64917773110835,1570.520001220703,1540.74599609375,1.0261372292918995,SMA20 > SMA50
HDFCLIFE,1.5,782.2000122070312,55.10674499139758,773.7574920654297,767.6569946289062,0.8856449848245874,SMA20 > SMA50
HDFCAMC,1.5,5856.5,61.82333674701973,5705.525,5621.64,11.830511047409956,SMA20 > SMA50
SAILIFE,1.5,913.6500244140625,64.79180988371786,863.8024993896485,849.6100024414062,4.197154517048906,SMA20 > SMA50
FLUOROCHEM,1.5,3801.300048828125,68.7826759237441,3534.130017089844,3504.203984375,32.261258721692755,SMA20 > SMA50
GESHIP,1.5,1054.4000244140625,69.95591043049052,981.9125061035156,969.3211364746094,10.36060450479299,SMA20 > SMA50
GRASIM,1.5,2877.89990234375,65.9827780019423,2809.8449829101564,2778.1183544921873,7.479866808339615,SMA20 > SMA50
TITAGARH,1.5,955.3499755859375,69.89964572820524,883.4825622558594,874.6347253417969,10.641402738323533,SMA20 > SMA50
BATAINDIA,1.5,1237.699951171875,58.79793506707247,1190.5699951171875,1182.4882153320314,5.85952761861304,SMA20 > SMA50
DOMS,1.5,2622.300048828125,59.68665507001135,2552.8983154296875,2455.2136865234374,0.5776782846788322,SMA20 > SMA50
FSL,1.5,375.79998779296875,60.25138075100619,361.2199996948242,356.94300048828126,1.9257469199119535,SMA20 > SMA50
FINPIPE,1.5,216.9199981689453,58.91336934648626,213.14572982788087,205.86878753662108,0.2363047450109037,SMA20 > SMA50
FACT,1.5,1000.1500244140625,55.91010138682997,980.1480590820313,965.5659753417968,1.3990398225696028,SMA20 > SMA50
